full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
chauncygu/collection-claude-code-source-code,1765,1765,1946,9,9,14,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,854,854,1700,2,2,0,https://github.com/pedrohcgs/claude-code-my-workflow
liuup/claude-code-analysis,1084,1084,1022,21,21,11,https://github.com/liuup/claude-code-analysis
ChrisWiles/claude-code-showcase,5728,5728,513,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3773,3773,554,1,1,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,528,528,1255,1,1,0,https://github.com/huangserva/claude-code-cli
lintsinghua/claude-code-book,2300,2300,564,24,24,3,https://github.com/lintsinghua/claude-code-book
1rgs/claude-code-proxy,3384,3384,448,2,2,0,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26762,26762,11039,16,16,25,https://github.com/qwibitai/nanoclaw
777genius/claude-code-source-code,887,887,1126,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3485,3485,594,-1,-1,0,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,112074,112074,12708,106,106,19,https://github.com/anthropics/skills
zebbern/claude-code-guide,3867,3867,366,0,0,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7392,7392,366,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
sickn33/antigravity-awesome-skills,31244,31244,5209,26,26,2,https://github.com/sickn33/antigravity-awesome-skills
kodu-ai/claude-coder,5281,5281,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2338,2338,402,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
zstmfhy/Claude-code,188,188,283,0,0,0,https://github.com/zstmfhy/Claude-code
lorryjovens-hub/claude-code-rust,1188,1188,490,7,7,5,https://github.com/lorryjovens-hub/claude-code-rust
FlorianBruniaux/claude-code-ultimate-guide,3016,3016,425,9,9,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
fuergaosi233/claude-code-proxy,2355,2355,331,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4148,4148,363,2,2,0,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2372,2372,321,0,0,1,https://github.com/RichardAtCT/claude-code-telegram
Cranot/claude-code-guide,2575,2575,285,0,0,0,https://github.com/Cranot/claude-code-guide
AprilNEA/claude-code-source,364,364,612,2,2,0,https://github.com/AprilNEA/claude-code-source
Alishahryar1/free-claude-code,1734,1734,309,4,4,2,https://github.com/Alishahryar1/free-claude-code
Windy3f3f3f3f/how-claude-code-works,1589,1589,468,5,5,2,https://github.com/Windy3f3f3f3f/how-claude-code-works
ding113/claude-code-hub,2317,2317,260,7,7,0,https://github.com/ding113/claude-code-hub
anthropics/claude-code-base-action,785,785,598,0,0,0,https://github.com/anthropics/claude-code-base-action
fazxes/Claude-code,194,194,201,0,0,3,https://github.com/fazxes/Claude-code
Kuberwastaken/claurst,8598,8598,7657,21,21,3,https://github.com/Kuberwastaken/claurst
wanshuiyin/Auto-claude-code-research-in-sleep,5719,5719,505,14,14,2,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
obra/superpowers,138656,138656,11745,282,282,33,https://github.com/obra/superpowers
https-deeplearning-ai/sc-claude-code-files,479,479,651,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
eyaltoledano/claude-task-master,26429,26429,2477,1,1,0,https://github.com/eyaltoledano/claude-task-master
router-for-me/CLIProxyAPI,23761,23761,3960,57,57,1,https://github.com/router-for-me/CLIProxyAPI
snarktank/ralph,14562,14562,1486,7,7,0,https://github.com/snarktank/ralph
garrytan/gstack,66059,66059,9091,125,125,29,https://github.com/garrytan/gstack
guanshan/ClaudeCode,54,54,209,1,1,2,https://github.com/guanshan/ClaudeCode
edmund-io/edmunds-claude-code,1386,1386,281,0,0,0,https://github.com/edmund-io/edmunds-claude-code
wshobson/agents,33112,33112,3606,4,4,-1,https://github.com/wshobson/agents
repowise-dev/claude-code-prompts,823,823,325,3,3,2,https://github.com/repowise-dev/claude-code-prompts
Pimzino/claude-code-spec-workflow,3632,3632,256,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
luyao618/Claude-Code-Source-Study,1003,1003,429,8,8,1,https://github.com/luyao618/Claude-Code-Source-Study
Yeachan-Heo/oh-my-claudecode,25480,25480,2343,77,77,12,https://github.com/Yeachan-Heo/oh-my-claudecode
bfly123/claude_code_bridge,2116,2116,197,1,1,0,https://github.com/bfly123/claude_code_bridge
ghuntley/claude-code-source-code-deobfuscation,965,965,554,0,0,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
anthropics/claude-plugins-official,16213,16213,1827,11,11,3,https://github.com/anthropics/claude-plugins-official
andrew-kramer-inno/claude-code-source-build,553,553,495,2,2,1,https://github.com/andrew-kramer-inno/claude-code-source-build
AICoderTudou/claude-code-tudou,435,435,363,2,2,1,https://github.com/AICoderTudou/claude-code-tudou
carlvellotti/claude-code-pm-course,1767,1767,274,1,1,0,https://github.com/carlvellotti/claude-code-pm-course
JrCx7scC/claude-code-source,287,287,429,1,1,3,https://github.com/JrCx7scC/claude-code-source
feiskyer/claude-code-settings,1422,1422,211,1,1,0,https://github.com/feiskyer/claude-code-settings
luongnv89/claude-howto,22014,22014,2614,147,147,21,https://github.com/luongnv89/claude-howto
rohitg00/awesome-claude-code-toolkit,1125,1125,311,1,1,0,https://github.com/rohitg00/awesome-claude-code-toolkit
alirezarezvani/claude-skills,9868,9868,1213,12,12,1,https://github.com/alirezarezvani/claude-skills
siteboon/claudecodeui,9559,9559,1260,3,3,0,https://github.com/siteboon/claudecodeui
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3047,3047,575,6,6,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
sugyan/claude-code-webui,1001,1001,231,0,0,0,https://github.com/sugyan/claude-code-webui
centminmod/my-claude-code-setup,2167,2167,217,2,2,0,https://github.com/centminmod/my-claude-code-setup
Hyper66666/claude-code-sourcemap,200,200,450,0,0,-1,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,646,646,58,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
lst97/claude-code-sub-agents,1521,1521,240,0,0,0,https://github.com/lst97/claude-code-sub-agents
NanmiCoder/cc-haha,5377,5377,5840,5377,5377,5840,https://github.com/NanmiCoder/cc-haha
